"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 04 13:55:57 UTC 2025","Thu Sep 04 13:56:11 UTC 2025","14731","","Web Tests","","tests.web.tests.CartPricingTest","pricesByCityInCart","[Web] Проверка цен на продукты в корзине для города: Калининград","Тест проверяет корректность отображения цен на продукты в корзине для различных городов"
"passed","Thu Sep 04 13:55:11 UTC 2025","Thu Sep 04 13:55:26 UTC 2025","15446","","Web Tests","","tests.web.tests.CartOperationsTest","cartCleanAndCheckEmptyInfo","[Web] Очистка корзины и проверка информации","Тест проверяет функциональность очистки корзины и корректное отображение пустого состояния"
"passed","Thu Sep 04 14:02:51 UTC 2025","Thu Sep 04 14:02:52 UTC 2025","652","","API Tests","","tests.api.tests.CitiesApiTest","getCityInfoWithInvalidId","[API] Получение информации о городе с невалидным идентификатором","Тест проверяет корректную обработку невалидного формата ID города"
"passed","Thu Sep 04 13:55:42 UTC 2025","Thu Sep 04 13:55:57 UTC 2025","15070","","Web Tests","","tests.web.tests.CartPricingTest","pricesByCityInCart","[Web] Проверка цен на продукты в корзине для города: Севастополь","Тест проверяет корректность отображения цен на продукты в корзине для различных городов"
"passed","Thu Sep 04 14:03:00 UTC 2025","Thu Sep 04 14:03:00 UTC 2025","320","","API Tests","","tests.api.tests.ProductsInfoApiTest","getProductInfoWithInvalidValues","[API] Получение информации о продукте с невалидным форматом идентификатора города","Проверяем, что API корректно валидирует невалидное значение для cityId"
"passed","Thu Sep 04 13:57:49 UTC 2025","Thu Sep 04 13:59:12 UTC 2025","83341","","Android Tests","","tests.android.tests.CartManagementTests","verifyCartProductInfo","[Android] Проверка информации в корзине для города: Санкт-Петербург","Тест проверяет корректность добавления товаров в корзину и отображения информации о товарах (название, цена, количество) для различных городов"
"passed","Thu Sep 04 14:02:54 UTC 2025","Thu Sep 04 14:02:55 UTC 2025","665","","API Tests","","tests.api.tests.CitiesApiTest","getCapitalCityCountryAndCheckDetails","[API] Проверка соответствия ""Страна"" - ""Столица"". Стране ""KAZAKHSTAN"" соответствует столица ""Астана""",""
"passed","Thu Sep 04 14:02:59 UTC 2025","Thu Sep 04 14:02:59 UTC 2025","324","","API Tests","","tests.api.tests.ProductsInfoApiTest","getProductInfoWithNullArticle","[API] Получение информации о продукте с пустым идентификатором артикула","Проверяем, что API корректно обрабатывает запрос без указания артикула (articles=null)"
"passed","Thu Sep 04 14:02:58 UTC 2025","Thu Sep 04 14:02:58 UTC 2025","409","","API Tests","","tests.api.tests.OfficeApiTest","findOfficeByRandomId","[API] Поиск офиса со случайным идентификатором города","Тест обработки случайного GUID при поиске офиса"
"passed","Thu Sep 04 14:02:57 UTC 2025","Thu Sep 04 14:02:58 UTC 2025","1078","","API Tests","","tests.api.tests.OfficeApiTest","findOfficeByCityId","[API] Поиск офиса с существующим идентификатору города","Тест успешного поиска офиса по корректному ID города"
"passed","Thu Sep 04 14:02:58 UTC 2025","Thu Sep 04 14:02:59 UTC 2025","447","","API Tests","","tests.api.tests.OfficeApiTest","findOfficeWithInvalidId","[API] Поиск офиса с невалидным форматом идентификатора города","Тест валидации при передаче невалидного формата ID города"
"passed","Thu Sep 04 13:54:12 UTC 2025","Thu Sep 04 13:54:27 UTC 2025","15300","","Web Tests","","tests.web.tests.CartConfigurationTest","choosingHomeOrderInCartAndCheckOrderDetails","[Web] Выбор выезда на дом для сдачи анализов и проверка деталей заказа","Тест проверяет функциональность выбора выезда специалистов на дом и корректное отображение информации"
"passed","Thu Sep 04 14:02:53 UTC 2025","Thu Sep 04 14:02:53 UTC 2025","678","","API Tests","","tests.api.tests.CitiesApiTest","getCapitalCityCountryAndCheckDetails","[API] Проверка соответствия ""Страна"" - ""Столица"". Стране ""ARMENIA"" соответствует столица ""Ереван""",""
"passed","Thu Sep 04 13:54:27 UTC 2025","Thu Sep 04 13:54:45 UTC 2025","17972","","Web Tests","","tests.web.tests.CartConfigurationTest","choosingOfficeOrderInCartAndCheckOrderDetails","[Web] Выбор офиса для сдачи анализов и проверка деталей заказа","Тест проверяет процесс выбора медицинского офиса для сдачи анализов и переход к оформлению заказа"
"passed","Thu Sep 04 14:02:53 UTC 2025","Thu Sep 04 14:02:54 UTC 2025","671","","API Tests","","tests.api.tests.CitiesApiTest","getCapitalCityCountryAndCheckDetails","[API] Проверка соответствия ""Страна"" - ""Столица"". Стране ""BELARUS"" соответствует столица ""Минск""",""
"passed","Thu Sep 04 14:03:00 UTC 2025","Thu Sep 04 14:03:01 UTC 2025","1079","","API Tests","","tests.api.tests.ProductsInfoApiTest","getProductInfoByCityId","[API] Получение информации о продукте с указанием существующего идентификатора города","Проверяем, что API корректно возвращает информацию о продукте при указании cityId"
"passed","Thu Sep 04 14:02:59 UTC 2025","Thu Sep 04 14:02:59 UTC 2025","395","","API Tests","","tests.api.tests.ProductsInfoApiTest","getProductInfoByLetterArticle","[API] Получение информации о продукте с буквенным артикулом","Проверяем, что API корректно возвращает информацию о продукте с буквенным артикулом VEN (Взятие крови)"
"passed","Thu Sep 04 14:02:55 UTC 2025","Thu Sep 04 14:02:56 UTC 2025","997","","API Tests","","tests.api.tests.CitiesApiTest","getCityInfoAndCheckDetails","[API] Получение информации о конкретном городе","Тест проверяет получение детальной информации о конкретном городе по его ID"
"passed","Thu Sep 04 13:54:45 UTC 2025","Thu Sep 04 13:55:11 UTC 2025","25158","","Web Tests","","tests.web.tests.CartOperationsTest","addProductToCartAndCheckInfo","[Web] Добавление продукта в корзину и проверка информации","Тест проверяет полный процесс добавления продукта в корзину через главное меню и корректное отображения информации"
"passed","Thu Sep 04 14:02:07 UTC 2025","Thu Sep 04 14:02:51 UTC 2025","43652","","Android Tests","","tests.android.tests.ResultsBlockingTests","verifyResultsBlocking","[Android] Блокировка проверки результатов анализов при частых запросах","Проверяем, что UI ограничивает количество запросов и блокирует пользователя при превышении лимита"
"passed","Thu Sep 04 14:02:56 UTC 2025","Thu Sep 04 14:02:57 UTC 2025","368","","API Tests","","tests.api.tests.OfficeApiTest","findOfficeWithNullId","[API] Поиск офиса с пустым идентификатором города","Тест валидации при передаче null ID города"
"passed","Thu Sep 04 14:00:38 UTC 2025","Thu Sep 04 14:01:09 UTC 2025","31379","","Android Tests","","tests.android.tests.CityInfoTests","verifyCityMenuSections","[Android] Проверка отображения секций в меню для города: Казань","Тест проверяет корректное отображение всех секций меню для различных городов"
"passed","Thu Sep 04 14:02:56 UTC 2025","Thu Sep 04 14:02:56 UTC 2025","598","","API Tests","","tests.api.tests.CitiesApiTest","getAllCitiesAndCheckDetails","[API] Получение списка всех городов","Тест проверяет успешное получение списка всех городов с валидацией структуры ответа"
"passed","Thu Sep 04 14:01:39 UTC 2025","Thu Sep 04 14:02:07 UTC 2025","27948","","Android Tests","","tests.android.tests.CityInfoTests","verifyCityNotFoundPlaceholder","[Android] Проверка появления заглушки при поиске несуществующего города","Тест проверяет корректное отображение заглушки 'Город не найден' в приложении"
"passed","Thu Sep 04 13:59:12 UTC 2025","Thu Sep 04 14:00:38 UTC 2025","85609","","Android Tests","","tests.android.tests.CartManagementTests","verifyOfficeAddressChange","[Android] Смена офиса и проверка изменений","Тест проверяет функциональность смены офиса в корзине и корректность отображения выбранного адреса"
"passed","Thu Sep 04 14:02:59 UTC 2025","Thu Sep 04 14:03:00 UTC 2025","455","","API Tests","","tests.api.tests.ProductsInfoApiTest","getProductInfoByNumericArticle","[API] Получение информации о продукте с цифровым артикулом","Проверяем, что API корректно возвращает информацию о продукте с цифровым артикулом 16 (Глюкоза)"
"passed","Thu Sep 04 14:02:52 UTC 2025","Thu Sep 04 14:02:53 UTC 2025","794","","API Tests","","tests.api.tests.CitiesApiTest","getCapitalCityCountryAndCheckDetails","[API] Проверка соответствия ""Страна"" - ""Столица"". Стране ""RUSSIA"" соответствует столица ""Москва""",""
"passed","Thu Sep 04 14:01:09 UTC 2025","Thu Sep 04 14:01:39 UTC 2025","29845","","Android Tests","","tests.android.tests.CityInfoTests","verifyCityMenuSections","[Android] Проверка отображения секций в меню для города: Абакан","Тест проверяет корректное отображение всех секций меню для различных городов"
"passed","Thu Sep 04 13:55:26 UTC 2025","Thu Sep 04 13:55:42 UTC 2025","15371","","Web Tests","","tests.web.tests.CartPricingTest","pricesByCityInCart","[Web] Проверка цен на продукты в корзине для города: Москва","Тест проверяет корректность отображения цен на продукты в корзине для различных городов"
"passed","Thu Sep 04 13:56:15 UTC 2025","Thu Sep 04 13:57:49 UTC 2025","93807","","Android Tests","","tests.android.tests.CartManagementTests","verifyCartProductInfo","[Android] Проверка информации в корзине для города: Волгоград","Тест проверяет корректность добавления товаров в корзину и отображения информации о товарах (название, цена, количество) для различных городов"
"passed","Thu Sep 04 14:02:52 UTC 2025","Thu Sep 04 14:02:52 UTC 2025","424","","API Tests","","tests.api.tests.CitiesApiTest","getCityInfoWithRandomId","[API] Получение информации о городе со случайным идентификатором","Тест проверяет обработку случайного GUID при запросе информации о городе"
